Method,Rank,Parameter,Precision_Score,Files_±2%,Files_±5%,Files_±10%,Files_>20%,Gain_Avg_%,Loss_Avg_%,Gain_Median_%,Loss_Median_%,Best_Gain_%,Worst_Gain_%,Best_Loss_%,Worst_Loss_%,Total_Files
SavGol-W11P3,106,11,1752.22,29,67,113,25,92.56,94.65,94.91,95.03,100.01,0.41,100.1,261.64,188
TwoPass-3m+1.2m,107,1.2,1739.61,17,78,128,21,98,108.39,97.51,103.51,99.97,0.47,99.98,290.91,188
TwoPass-3m+1.1m,108,1.1,1719.13,16,77,128,20,98,108.87,97.51,103.56,99.97,0.47,99.95,290.86,188
DistBased-5.1m,109,5.1,1704.45,21,68,121,19,93.71,95.74,94.66,94.9,100.03,0.38,100,263.46,188
TwoPass-3m+1.0m,110,1,1678.78,16,75,128,22,98,109.21,97.51,103.95,99.97,0.47,99.97,291.39,188
SavGol-W11P4,111,11,1651.65,26,66,111,27,92.28,94.36,94.76,94.75,99.95,0.41,99.94,261.55,188
SavGol-W15P2,112,15,1150.97,18,47,94,33,89.43,91.54,92.47,92.26,100,0.36,99.99,253.01,188
SavGol-W15P3,113,15,1084.87,19,42,91,35,88.88,90.99,92.24,91.48,99.87,0.34,100.1,251.24,188
SavGol-W15P4,114,15,1049.3,18,42,90,36,88.6,90.7,91.94,91.14,100.09,0.34,100.03,249.75,188
SavGol-W21P3,115,21,657.21,12,34,75,47,85.02,87.18,88.99,88.33,99.72,0.27,99.99,236.63,188
SavGol-W21P2,116,21,638.31,12,32,75,47,85.57,87.73,89.63,88.67,100.13,0.28,100.06,238.65,188
SavGol-W21P4,117,21,611.48,12,31,74,48,84.66,86.82,88.24,87.66,99.52,0.27,99.88,235.66,188
SavGol-W31P2,118,31,144.06,5,22,54,61,80.89,83.17,84.2,84.76,99.35,0.23,100.04,222.76,188
SavGol-W31P3,119,31,27.84,4,20,51,67,80.29,82.55,83.73,84.42,100.07,0.22,99.51,220.86,188
SavGol-W31P4,120,31,-32.95,4,18,49,70,79.9,82.15,83.43,84.24,100.64,0.22,100.77,220.01,188
