filename,total_points,total_distance_km,raw_elevation_gain_m,raw_elevation_loss_m,raw_gain_loss_ratio,gain_10m,loss_10m,ratio_10m,gain_25m,loss_25m,ratio_25m,gain_50m,loss_50m,ratio_50m,official_elevation_gain_m,accuracy_raw,accuracy_10m,accuracy_25m,accuracy_50m,noise_level,gradient_issues,data_quality_score
dolomiti-extreme-trail-2025-gps-103k.gpx,4432,102.042059346522,5643.076463,5642.11217799999,1.00017090851256,5618.18113818753,5617.21685318753,1.00017166597359,5575,5574,1.0001729892701,5496.85359617039,5495.83184982451,1.00018591295618,5433,103.866675188662,103.408450914551,103,101.175291665201,High,119,45
mozart100_MOZART_100.gpx,5269,118.19895754317,7620.89,7619.27999999997,1.00021130605517,6766.69492775691,6761.46146783488,1.00077401312526,5949,5941,1.0013041804782,5334.77313430795,5326.83809137095,1.00148963471405,5800,131.394655172414,116.667153926843,103,91.9788471432406,High,402,45
dolomiti-extreme-trail-2025-gps-72k.gpx,3234,74.028895830438,4078.16873700001,4077.28842500001,1.00021590623675,4060.92592326371,4060.0456112637,1.00021682317991,4030,4029,1.00021847642303,3974.75556244486,3973.8046506403,1.00023929505553,3930,103.770196870229,103.331448429102,103,101.138818382821,High,110,45
LUT_20k_variante_2024_de2a531f04.gpx,2703,19.5069785882458,1080.38122558594,1132.98120117188,0.95357383200045,1058.01262289702,1110.13290349735,0.953050413661163,1025,1077,0.9517696978573,973.56702344137,1025.17190762056,0.949662213921791,1000,108.038122558594,105.801262289702,102,97.356702344137,Medium,317,60
dolomiti-extreme-trail-2025-gps-11k.gpx,486,11.9402059721742,466.485044,465.557302,1.00199275577037,464.742166851216,463.814424851216,1.00200024395597,462,461,1.00201205478483,457.018813248635,456.102062651689,1.00200996810147,451,103.433490909091,103.04704364772,102,101.334548392158,Medium,0,90
vut13.gpx,1012,12.7143977231,1160.89069,871.075260000001,1.33270997732159,1053.1269913679,763.270557403274,1.3797558167981,1024,735,1.39361337651736,996.68786890194,708.356867331256,1.40704200787518,1000,116.089069,105.31269913679,102,99.668786890194,High,242,30
kagaspa20_20250109_7667eb0ce1.gpx,879,20.012647789309,1821,2092,0.870458891013384,1227.56107073894,1496.405067796,0.820340091835538,739,1005,0.735272800596132,596.197995530325,862.09482165205,0.691568932507701,722,252.216066481994,170.022308966612,102,82.5758996579398,High,99,45
dolomiti-extreme-trail-2025-gps-55k.gpx,2536,56.1686918514127,3121.959133,3120.30936,1.00052872097272,3113.23892710734,3111.58915410735,1.00053020270938,3098,3096,1.00053285422493,3069.37330971291,3067.72827822335,1.0005362376783,3042,102.628505358317,102.341845072562,102,100.899845815678,High,113,45
JAT_25_km_f113f19ff7.gpx,1247,24.3285472435699,1411.8,1407.9,1.00277008310249,1242.98713476303,1239.4194371386,1.00287852321622,1068,1065,1.00313095621827,979.400124289672,976.92749475723,1.00253102665828,1050,134.457142857143,118.379727120289,102,93.2762023133021,High,89,45
2025marathon_2985511d33.gpx,6407,43.8533299831405,3275.09994506836,3478.29995727539,0.941580652990549,3123.04592608506,3326.44475894637,0.938853987484905,3051,3254,0.937704331924363,2987.11512861868,3187.49551123737,0.937135477708986,3000,109.169998168945,104.101530869502,102,99.5705042872894,Medium,761,60
